"Circoscrizione";"Nazionalità";"Immigrati"
"SUD";"DEL BURKINA";
"SUD";"DEL CAMERUN";22
"SUD";"DEL CIAD";1
"SUD";"DEL NIGER";4
"SUD";"DELLA COSTA D'AVORIO";21
"SUD";"DELLA GEORGIA";
"SUD";"DELLA SIERRA LEONE";3
"SUD";"DI SAO TOME' E PRINCIPE";
"SUD";"DI TAIWAN";
"SUD";"DOMINICANA";103
"SUD";"DOMINICIANA";1
"SUD";"ECUADOREGNA";14
"SUD";"EGIZIANA";11
"SUD";"ERITREA";7
"SUD";"ESTONE";
"SUD";"ETIOPE";6
"SUD";"FILIPPINA";9
"SUD";"FINLANDESE";
"SUD";"FRANCESE";7
"SUD";"GABONESE";
"SUD";"GAMBIANA";2
"SUD";"GHANESE";257
"SUD";"GIAPPONESE";1
"SUD";"GIORDANA";
"SUD";"GRECA";12
"SUD";"GUINEANA";4
"SUD";"GUINEANA BISSAUESE";6
"SUD";"HAITIANA";
"SUD";"HONDUREGNA";
"SUD";"IEMENITA";1
"SUD";"IGNOTA";
"SUD";"INDIANA";174
"SUD";"INDONESIANA";1
"SUD";"IRACHENA";
"SUD";"IRANIANA";19
"SUD";"IRLANDESE";
"SUD";"ISLANDESE";
"SUD";"ISRAELIANA";23
"SUD";"KAZACA";
"SUD";"KENIANA";2
"SUD";"KOSOVARA";13
"SUD";"LETTONE";3
"SUD";"LIBANESE";2
"SUD";"LIBERIANA";2
"SUD";"LITUANA";
"SUD";"LUSSEMBURGHESE";
"SUD";"MACEDONE";4
"SUD";"MALGASCIA";
"SUD";"MALINA";1
"SUD";"MALTESE";
"SUD";"MAROCCHINA";530
"SUD";"MAURITANA";5
"SUD";"MAURIZIANA";
"SUD";"MESSICANA";1
"SUD";"MOLDAVA";635
"SUD";"MONTENEGRINA";
"SUD";"MOZAMBICANA";
"SUD";"NEOZELANDESE";
"SUD";"NEPALESE";
"SUD";"NICARAGUENSE";
"SUD";"NIGERIANA";420
"SUD";"NORVEGESE";
"SUD";"OLANDESE";
"SUD";"PACHISTANA";78
"SUD";"PALESTINESE";4
"SUD";"PANAMENSE";
"SUD";"PARAGUAIANA";48
"SUD";"PERUVIANA";53
"SUD";"POLACCA";100
"SUD";"PORTOGHESE";8
"SUD";"RUANDESE";
"SUD";"RUMENA";1950
"SUD";"RUSSA";17
"SUD";"SALVADOREGNA";
"SUD";"SANMARINESE";
"SUD";"SEICELLE";
"SUD";"SENEGALESE";83
"SUD";"SERBA";43
"SUD";"SINGAPORE";
"SUD";"SIRIANA";3
"SUD";"SLOVACCA";6
"SUD";"SLOVENA";
"SUD";"SOMALA";1
"SUD";"SPAGNOLA";6
"SUD";"SRILANKESE";728
"SUD";"STATUNITENSE";6
"SUD";"STRANIERA";2
"SUD";"SUDAFRICANA";1
"SUD";"SUDANESE";2
"SUD";"SUDCOREANA";2
"SUD";"SVEDESE";1
"SUD";"SVIZZERA";1
"SUD";"TAILANDESE";8
"SUD";"TANZANIANA";
"SUD";"TEDESCA";15
"SUD";"TIMORESE";
"SUD";"TOGOLESE";15
"SUD";"TUNISINA";163
"SUD";"TURCA";1
"SUD";"UCRAINA";82
"SUD";"UGANDESE";3
"SUD";"UNGHERESE";2
"SUD";"URUGUAIANA";1
"SUD";"UZBECA";1
"SUD";"VENEZUELANA";
"SUD";"VIETNAMITA";2
"SUD";"YUGOSLAVA";52
"SUD";"ZAMBESE";
"SUD-EST";"AFGANA";
"SUD-EST";"ALBANESE";216
"SUD-EST";"ALGERINA";10
"SUD-EST";"ANGOLANA";
"SUD-EST";"APOLIDE";
"SUD-EST";"ARGENTINA";4
"SUD-EST";"ARMENA";
"SUD-EST";"AUSTRALIANA";
"SUD-EST";"AUSTRIACA";2
"SUD-EST";"BANGLADESH";11
"SUD-EST";"BARBADORENA";
"SUD-EST";"BELGA";
"SUD-EST";"BIELORUSSA";2
"SUD-EST";"BIRMANA";
"SUD-EST";"BOLIVIANA";5
"SUD-EST";"BOSNIACA";19
"SUD-EST";"BRASILIANA";77
"SUD-EST";"BRITANNICA";6
"SUD-EST";"BULGARA";19
"SUD-EST";"BURUNDA";
"SUD-EST";"CAMBOGIANA";
"SUD-EST";"CANADESE";
"SUD-EST";"CECA";1
"SUD-EST";"CILENA";
"SUD-EST";"CINESE";179
"SUD-EST";"CIPRIOTA";
"SUD-EST";"COLOMBIANA";15
"SUD-EST";"CONGOLESE";6
"SUD-EST";"COSTARICANA";
"SUD-EST";"CROATA";16
"SUD-EST";"CUBANA";8
"SUD-EST";"DANESE";
"SUD-EST";"DEL BELIZE";
"SUD-EST";"DEL BENIN";
"SUD-EST";"DEL BURKINA";1
"SUD-EST";"DEL CAMERUN";8
"SUD-EST";"DEL CIAD";
"SUD-EST";"DEL NIGER";
"SUD-EST";"DELLA COSTA D'AVORIO";32
"SUD-EST";"DELLA GEORGIA";1
"SUD-EST";"DELLA SIERRA LEONE";
"SUD-EST";"DI SAO TOME' E PRINCIPE";1
"SUD-EST";"DI TAIWAN";
"SUD-EST";"DOMINICANA";43
"SUD-EST";"DOMINICIANA";1
"SUD-EST";"ECUADOREGNA";4
"SUD-EST";"EGIZIANA";4
"SUD-EST";"ERITREA";5
"SUD-EST";"ESTONE";1
"SUD-EST";"ETIOPE";3
"SUD-EST";"FILIPPINA";51
"SUD-EST";"FINLANDESE";
"SUD-EST";"FRANCESE";2
"SUD-EST";"GABONESE";
"SUD-EST";"GAMBIANA";
"SUD-EST";"GHANESE";176
"SUD-EST";"GIAPPONESE";
"SUD-EST";"GIORDANA";
"SUD-EST";"GRECA";2
"SUD-EST";"GUINEANA";2
"SUD-EST";"GUINEANA BISSAUESE";20
"SUD-EST";"HAITIANA";
"SUD-EST";"HONDUREGNA";
"SUD-EST";"IEMENITA";5
"SUD-EST";"IGNOTA";
"SUD-EST";"INDIANA";68
"SUD-EST";"INDONESIANA";
"SUD-EST";"IRACHENA";
"SUD-EST";"IRANIANA";6
"SUD-EST";"IRLANDESE";
"SUD-EST";"ISLANDESE";
"SUD-EST";"ISRAELIANA";
"SUD-EST";"KAZACA";
"SUD-EST";"KENIANA";
"SUD-EST";"KOSOVARA";6
"SUD-EST";"LETTONE";1
"SUD-EST";"LIBANESE";1
"SUD-EST";"LIBERIANA";
"SUD-EST";"LITUANA";1
"SUD-EST";"LUSSEMBURGHESE";
"SUD-EST";"MACEDONE";
"SUD-EST";"MALGASCIA";2
"SUD-EST";"MALINA";
"SUD-EST";"MALTESE";
"SUD-EST";"MAROCCHINA";207
"SUD-EST";"MAURITANA";
"SUD-EST";"MAURIZIANA";
"SUD-EST";"MESSICANA";2
"SUD-EST";"MOLDAVA";269
"SUD-EST";"MONTENEGRINA";
"SUD-EST";"MOZAMBICANA";
"SUD-EST";"NEOZELANDESE";
"SUD-EST";"NEPALESE";
"SUD-EST";"NICARAGUENSE";
"SUD-EST";"NIGERIANA";166
"SUD-EST";"NORVEGESE";
"SUD-EST";"OLANDESE";4
"SUD-EST";"PACHISTANA";33
"SUD-EST";"PALESTINESE";
"SUD-EST";"PANAMENSE";
"SUD-EST";"PARAGUAIANA";3
"SUD-EST";"PERUVIANA";26
"SUD-EST";"POLACCA";19
"SUD-EST";"PORTOGHESE";7
"SUD-EST";"RUANDESE";
"SUD-EST";"RUMENA";558
"SUD-EST";"RUSSA";19
"SUD-EST";"SALVADOREGNA";1
"SUD-EST";"SANMARINESE";
"SUD-EST";"SEICELLE";
"SUD-EST";"SENEGALESE";43
"SUD-EST";"SERBA";27
"SUD-EST";"SINGAPORE";
"SUD-EST";"SIRIANA";
"SUD-EST";"SLOVACCA";2
"SUD-EST";"SLOVENA";
"SUD-EST";"SOMALA";2
"SUD-EST";"SPAGNOLA";3
"SUD-EST";"SRILANKESE";425
"SUD-EST";"STATUNITENSE";5
"SUD-EST";"STRANIERA";1
"SUD-EST";"SUDAFRICANA";
"SUD-EST";"SUDANESE";1
"SUD-EST";"SUDCOREANA";1
"SUD-EST";"SVEDESE";2
"SUD-EST";"SVIZZERA";2
"SUD-EST";"TAILANDESE";1
"SUD-EST";"TANZANIANA";2
"SUD-EST";"TEDESCA";9
"SUD-EST";"TIMORESE";
"SUD-EST";"TOGOLESE";6
"SUD-EST";"TUNISINA";42
"SUD-EST";"TURCA";
"SUD-EST";"UCRAINA";42
"SUD-EST";"UGANDESE";
"SUD-EST";"UNGHERESE";3
"SUD-EST";"URUGUAIANA";
"SUD-EST";"UZBECA";
"SUD-EST";"VENEZUELANA";2
"SUD-EST";"VIETNAMITA";4
"SUD-EST";"YUGOSLAVA";25
"SUD-EST";"ZAMBESE";
"SUD-OVEST";"AFGANA";2
"SUD-OVEST";"ALBANESE";177
"SUD-OVEST";"ALGERINA";51
"SUD-OVEST";"ANGOLANA";
"SUD-OVEST";"APOLIDE";
"SUD-OVEST";"ARGENTINA";2
"SUD-OVEST";"ARMENA";2
"SUD-OVEST";"AUSTRALIANA";
"SUD-OVEST";"AUSTRIACA";2
"SUD-OVEST";"BANGLADESH";50
"SUD-OVEST";"BARBADORENA";1
"SUD-OVEST";"BELGA";1
"SUD-OVEST";"BIELORUSSA";4
"SUD-OVEST";"BIRMANA";
"SUD-OVEST";"BOLIVIANA";1
"SUD-OVEST";"BOSNIACA";4
"SUD-OVEST";"BRASILIANA";52
"SUD-OVEST";"BRITANNICA";2
"SUD-OVEST";"BULGARA";36
"SUD-OVEST";"BURUNDA";
"SUD-OVEST";"CAMBOGIANA";
"SUD-OVEST";"CANADESE";
"SUD-OVEST";"CECA";2
"SUD-OVEST";"CILENA";
"SUD-OVEST";"CINESE";407
"SUD-OVEST";"CIPRIOTA";
"SUD-OVEST";"COLOMBIANA";82
"SUD-OVEST";"CONGOLESE";1
"SUD-OVEST";"COSTARICANA";
"SUD-OVEST";"CROATA";18
"SUD-OVEST";"CUBANA";3
"SUD-OVEST";"DANESE";1
"SUD-OVEST";"DEL BELIZE";
"SUD-OVEST";"DEL BENIN";
"SUD-OVEST";"DEL BURKINA";1
"SUD-OVEST";"DEL CAMERUN";3
"SUD-OVEST";"DEL CIAD";
"SUD-OVEST";"DEL NIGER";1
"SUD-OVEST";"DELLA COSTA D'AVORIO";32
"SUD-OVEST";"DELLA GEORGIA";5
"SUD-OVEST";"DELLA SIERRA LEONE";1
"SUD-OVEST";"DI SAO TOME' E PRINCIPE";
"SUD-OVEST";"DI TAIWAN";
"SUD-OVEST";"DOMINICANA";48
"SUD-OVEST";"DOMINICIANA";1
"SUD-OVEST";"ECUADOREGNA";13
"SUD-OVEST";"EGIZIANA";1
"SUD-OVEST";"ERITREA";5
"SUD-OVEST";"ESTONE";
"SUD-OVEST";"ETIOPE";3
"SUD-OVEST";"FILIPPINA";32
"SUD-OVEST";"FINLANDESE";1
"SUD-OVEST";"FRANCESE";5
"SUD-OVEST";"GABONESE";
"SUD-OVEST";"GAMBIANA";1
"SUD-OVEST";"GHANESE";243
"SUD-OVEST";"GIAPPONESE";2
"SUD-OVEST";"GIORDANA";
"SUD-OVEST";"GRECA";4
"SUD-OVEST";"GUINEANA";3
"SUD-OVEST";"GUINEANA BISSAUESE";3
"SUD-OVEST";"HAITIANA";1
"SUD-OVEST";"HONDUREGNA";1
"SUD-OVEST";"IEMENITA";
"SUD-OVEST";"IGNOTA";1
"SUD-OVEST";"INDIANA";98
"SUD-OVEST";"INDONESIANA";
"SUD-OVEST";"IRACHENA";
"SUD-OVEST";"IRANIANA";2
"SUD-OVEST";"IRLANDESE";
"SUD-OVEST";"ISLANDESE";
"SUD-OVEST";"ISRAELIANA";1
"SUD-OVEST";"KAZACA";
"SUD-OVEST";"KENIANA";
"SUD-OVEST";"KOSOVARA";7
"SUD-OVEST";"LETTONE";1
"SUD-OVEST";"LIBANESE";4
"SUD-OVEST";"LIBERIANA";1
"SUD-OVEST";"LITUANA";
"SUD-OVEST";"LUSSEMBURGHESE";
"SUD-OVEST";"MACEDONE";
"SUD-OVEST";"MALGASCIA";
"SUD-OVEST";"MALINA";3
"SUD-OVEST";"MALTESE";
"SUD-OVEST";"MAROCCHINA";381
"SUD-OVEST";"MAURITANA";
"SUD-OVEST";"MAURIZIANA";1
"SUD-OVEST";"MESSICANA";5
"SUD-OVEST";"MOLDAVA";647
"SUD-OVEST";"MONTENEGRINA";
"SUD-OVEST";"MOZAMBICANA";
"SUD-OVEST";"NEOZELANDESE";
"SUD-OVEST";"NEPALESE";
"SUD-OVEST";"NICARAGUENSE";
"SUD-OVEST";"NIGERIANA";442
"SUD-OVEST";"NORVEGESE";
"SUD-OVEST";"OLANDESE";2
"SUD-OVEST";"PACHISTANA";104
"SUD-OVEST";"PALESTINESE";1
"SUD-OVEST";"PANAMENSE";
"SUD-OVEST";"PARAGUAIANA";32
"SUD-OVEST";"PERUVIANA";52
"SUD-OVEST";"POLACCA";26
"SUD-OVEST";"PORTOGHESE";
"SUD-OVEST";"RUANDESE";
"SUD-OVEST";"RUMENA";1277
"SUD-OVEST";"RUSSA";24
"SUD-OVEST";"SALVADOREGNA";2
"SUD-OVEST";"SANMARINESE";
"SUD-OVEST";"SEICELLE";
"SUD-OVEST";"SENEGALESE";60
"SUD-OVEST";"SERBA";47
"SUD-OVEST";"SINGAPORE";
"SUD-OVEST";"SIRIANA";6
"SUD-OVEST";"SLOVACCA";
"SUD-OVEST";"SLOVENA";
"SUD-OVEST";"SOMALA";1
"SUD-OVEST";"SPAGNOLA";4
"SUD-OVEST";"SRILANKESE";1255
"SUD-OVEST";"STATUNITENSE";3
"SUD-OVEST";"STRANIERA";2
"SUD-OVEST";"SUDAFRICANA";
"SUD-OVEST";"SUDANESE";4
"SUD-OVEST";"SUDCOREANA";
"SUD-OVEST";"SVEDESE";2
"SUD-OVEST";"SVIZZERA";1
"SUD-OVEST";"TAILANDESE";7
"SUD-OVEST";"TANZANIANA";
"SUD-OVEST";"TEDESCA";10
"SUD-OVEST";"TIMORESE";
"SUD-OVEST";"TOGOLESE";6
"SUD-OVEST";"TUNISINA";76
"SUD-OVEST";"TURCA";6
"SUD-OVEST";"UCRAINA";59
"SUD-OVEST";"UGANDESE";
"SUD-OVEST";"UNGHERESE";2
"SUD-OVEST";"URUGUAIANA";1
"SUD-OVEST";"UZBECA";
"SUD-OVEST";"VENEZUELANA";
"SUD-OVEST";"VIETNAMITA";2
"SUD-OVEST";"YUGOSLAVA";25
"SUD-OVEST";"ZAMBESE";
